id,human_score,judge_score
label-01,0,0
label-02,1,1
label-03,0,0
label-04,1,1
label-05,0,0
label-06,1,1
label-07,0,0
label-08,1,1
label-09,0,0
label-10,1,1
label-11,0,0
label-12,1,1
label-13,0,0
label-14,1,1
label-15,0,0
label-16,1,1
label-17,0,0
label-18,1,1
label-19,0,0
label-20,1,1
label-21,0,0
label-22,1,1
label-23,0,0
label-24,1,1
label-25,0,0
label-26,1,1
label-27,0,0
label-28,1,1
label-29,0,0
label-30,1,1
label-31,0,0
label-32,1,1
label-33,0,0
label-34,1,1
label-35,0,0
label-36,1,1
label-37,0,0
label-38,1,1
label-39,0,0
label-40,1,1
label-41,0,0
label-42,1,1
label-43,0,0
label-44,1,1
label-45,0,0
label-46,1,1
label-47,0,0
label-48,1,1
label-49,0,0
label-50,1,1
